Element, data.x, data.y, data.z, data.w
0, 3F800000, 00000000, 00000000, 00000000
1, 00000000, 3F800000, 00000000, 00000000
2, 00000000, 00000000, 3F800000, 00000000
3, 00000000, 00000000, 00000000, 3F800000
4, 3F800000, 80000000, 00000000, 00000000
5, 80000000, 3F800000, 80000000, 00000000
6, 00000000, 80000000, 3F800000, 00000000
7, 80000000, 80000000, 80000000, 3F800000
8, 00000000, 00000000, 00000000, 00000000
9, 00000000, 00000000, 00000000, 00000000
10, 00000000, 3F800000, 3F800000, 00000000
11, 00000000, 00000000, 00000000, 00000000
12, 00000000, 00000000, 00000000, 00000000
13, 00000000, 00000000, 00000000, 00000000
14, 3F800000, 3F800000, 00000000, 00000000
15, 00000000, 00000000, 00000000, 00000000
16, 00000000, 00000000, 00000000, 00000000
17, 00000000, 00000000, 00000000, 00000000
18, 00000000, 00000000, 00000000, 00000000
19, 00000000, 00000000, 00000000, 00000000
20, 00000000, 00000000, 00000000, 00000000
21, 00000000, 00000000, 00000000, 00000000
22, 00000000, 00000000, 00000000, 00000000
23, 00000000, 00000000, 00000000, 3F800000
